sex,raceth5,age_band,yeardec,n_alive_w,n_dead_w,n_alive_unw,n_dead_unw,mean_nk_alive,mean_nk_dead,kappa,kappa_smooth,kappa_pool
f,3,40-49,4,23682605.0,478954.0,3569,90,0.7602216901392393,0.500618013420913,0.6585158249420925,0.6585158249420925,1.0762720934294046
f,3,50-59,2,1108638.0,438883.0,233,90,0.16473907623588582,0.13913275292048222,0.8445643626243324,0.8445643626243324,0.7964840592136422
f,3,50-59,3,17668082.0,3626975.0,3056,690,0.22545061767315774,0.16582910000758208,0.7355451128015507,0.7355451128015507,0.7542768066854484
f,3,50-59,4,23745750.0,1105064.0,3942,238,0.16939119631934135,0.12046904070714456,0.7111883222079188,0.7111883222079188,1.0762720934294046
f,3,60-69,2,558984.0,512902.0,112,112,0.029165414394687506,0.05554277425317117,1.9044054544031548,1.9044054544031548,0.7964840592136422
f,3,60-69,3,8199318.0,3922952.0,1639,869,0.08913509635801417,0.08361993723094241,0.9381258409715525,0.9381258409715525,0.7542768066854484
f,3,60-69,4,16312252.0,1528453.0,3115,331,0.06270139769787765,0.12942759770827103,2.0641899935294736,2.0641899935294736,1.0762720934294046
f,3,70-100,2,250939.0,863264.0,58,225,0.15123595774271836,0.008650887793305409,0.05720126299608089,0.05720126299608089,0.7964840592136422
f,3,70-100,3,4484783.0,7900586.0,990,1886,0.06024639319226817,0.039679968042876816,0.658628109341643,0.658628109341643,0.7542768066854484
f,3,70-100,4,10713960.0,3222853.0,2439,833,0.04436986884401286,0.03554087015448734,0.8010136401222002,0.8010136401222002,1.0762720934294046
f,4,18-29,2,973237.0,12377.0,110,2,0.43884994097018504,0.0,0.0,1.0,
f,4,18-29,3,10300157.0,100895.0,1213,14,0.4260369040976754,1.776609346350166,4.170083223454396,0.8605078992701207,0.8605078992701207
f,4,18-29,4,12700080.0,37197.0,1763,8,0.3547272143167602,0.11146060166142431,0.3142149718512815,0.8168096137253371,0.8168096137253371
f,4,30-39,2,636297.0,20306.0,87,4,1.3237969061617452,0.9143602875997242,0.6907103977534188,1.0,
f,4,30-39,3,9388973.0,280877.0,1191,39,1.3252801983773945,1.392324754251861,1.0505889667381678,1.0505889667381678,0.8605078992701207
f,4,30-39,4,14049884.0,137646.0,1789,15,1.2325265461266441,0.4328930735364631,0.35122413784666884,0.8168096137253371,0.8168096137253371
f,4,40-49,2,611576.0,43884.0,68,6,1.0738485486677045,0.8031173092698933,0.7478869438956729,1.0,
f,4,40-49,3,8329580.0,460936.0,971,51,1.0442256392279083,1.1745925681656455,1.1248455544858382,1.1248455544858382,0.8605078992701207
f,4,40-49,4,12835089.0,59894.0,1483,13,1.175973925852793,1.0843323204327646,0.9220717369617087,0.8168096137253371,0.8168096137253371
