district_label,tier,year,subject,race,mean_ss,n_tested
Beloit,Tier 1,2013-14,Math,Hispanic,481.19342251950945,897.0
Beloit,Tier 1,2013-14,Math,White,491.383085106383,940.0
Beloit,Tier 1,2013-14,Reading,Black,461.1292537313432,670.0
Beloit,Tier 1,2013-14,Reading,Hispanic,469.482293986637,898.0
Beloit,Tier 1,2013-14,Reading,White,481.52430997876866,942.0
Sun Prairie Area,Tier 2,2008-09,Math,Black,483.31081081081084,259.0
Sun Prairie Area,Tier 2,2008-09,Math,Hispanic,494.579012345679,81.0
Sun Prairie Area,Tier 2,2008-09,Math,White,519.8256777493606,1955.0
Sun Prairie Area,Tier 2,2008-09,Reading,Black,473.84517374517384,259.0
Sun Prairie Area,Tier 2,2008-09,Reading,Hispanic,475.14938271604944,81.0
Sun Prairie Area,Tier 2,2008-09,Reading,White,511.1090583418629,1954.0
Sun Prairie Area,Tier 2,2009-10,Math,Black,475.4414965986394,294.0
Sun Prairie Area,Tier 2,2009-10,Math,Hispanic,498.71538461538455,104.0
Sun Prairie Area,Tier 2,2009-10,Math,White,521.5984390243901,2050.0
Sun Prairie Area,Tier 2,2009-10,Reading,Black,470.3772108843537,294.0
Sun Prairie Area,Tier 2,2009-10,Reading,Hispanic,477.5403846153846,104.0
Sun Prairie Area,Tier 2,2009-10,Reading,White,509.22731707317075,2050.0
Sun Prairie Area,Tier 2,2010-11,Math,Black,477.9390449438202,356.0
Sun Prairie Area,Tier 2,2010-11,Math,Hispanic,493.5328947368421,152.0
Sun Prairie Area,Tier 2,2010-11,Math,White,523.4339130434782,1955.0
Sun Prairie Area,Tier 2,2010-11,Reading,Black,473.6342696629213,356.0
Sun Prairie Area,Tier 2,2010-11,Reading,Hispanic,481.93618421052633,152.0
Sun Prairie Area,Tier 2,2010-11,Reading,White,510.4506905370843,1955.0
Sun Prairie Area,Tier 2,2011-12,Math,Black,483.15954773869345,398.0
Sun Prairie Area,Tier 2,2011-12,Math,Hispanic,494.53662790697666,172.0
Sun Prairie Area,Tier 2,2011-12,Math,White,527.822643442623,1952.0
Sun Prairie Area,Tier 2,2011-12,Reading,Black,473.7557788944724,398.0
Sun Prairie Area,Tier 2,2011-12,Reading,Hispanic,477.2593023255814,172.0
Sun Prairie Area,Tier 2,2011-12,Reading,White,511.2327868852459,1952.0
Sun Prairie Area,Tier 2,2012-13,Math,Black,486.171875,384.0
Sun Prairie Area,Tier 2,2012-13,Math,Hispanic,500.0217821782178,202.0
Sun Prairie Area,Tier 2,2012-13,Math,White,529.2895674300255,1965.0
Sun Prairie Area,Tier 2,2012-13,Reading,Black,475.73593750000003,384.0
Sun Prairie Area,Tier 2,2012-13,Reading,Hispanic,485.6717821782178,202.0
Sun Prairie Area,Tier 2,2012-13,Reading,White,514.0553289138195,1961.0
Sun Prairie Area,Tier 2,2013-14,Math,Black,486.8592964824121,398.0
Sun Prairie Area,Tier 2,2013-14,Math,Hispanic,493.70398230088483,226.0
Sun Prairie Area,Tier 2,2013-14,Math,White,529.3217042606516,1995.0
Sun Prairie Area,Tier 2,2013-14,Reading,Black,471.8979899497488,398.0
Sun Prairie Area,Tier 2,2013-14,Reading,Hispanic,479.2805309734514,226.0
Sun Prairie Area,Tier 2,2013-14,Reading,White,512.2452631578948,1995.0
Appleton Area,Tier 2,2008-09,Math,Black,484.5344262295082,183.0
Appleton Area,Tier 2,2008-09,Math,Hispanic,476.64699140401143,349.0
Appleton Area,Tier 2,2008-09,Math,White,509.81228070175445,4503.0
Appleton Area,Tier 2,2008-09,Reading,Black,477.8792349726776,183.0
Appleton Area,Tier 2,2008-09,Reading,Hispanic,470.28607954545447,352.0
Appleton Area,Tier 2,2008-09,Reading,White,507.2545293857711,4526.0
Appleton Area,Tier 2,2009-10,Math,Black,471.811377245509,167.0
Appleton Area,Tier 2,2009-10,Math,Hispanic,479.2977157360406,394.0
Appleton Area,Tier 2,2009-10,Math,White,510.59593531468533,4576.0
Appleton Area,Tier 2,2009-10,Reading,Black,473.3694610778444,167.0
Appleton Area,Tier 2,2009-10,Reading,Hispanic,472.1394402035623,393.0
Appleton Area,Tier 2,2009-10,Reading,White,507.68879178501203,4577.0
Appleton Area,Tier 2,2010-11,Math,Black,476.74264705882354,68.0
Appleton Area,Tier 2,2010-11,Math,Hispanic,479.2773269689738,419.0
Appleton Area,Tier 2,2010-11,Math,White,509.0187893252333,4609.0
Appleton Area,Tier 2,2010-11,Reading,Black,471.7955882352941,68.0
Appleton Area,Tier 2,2010-11,Reading,Hispanic,475.77745803357317,417.0
Appleton Area,Tier 2,2010-11,Reading,White,508.21245119305854,4610.0
Appleton Area,Tier 2,2011-12,Math,Black,468.6857142857142,119.0
Appleton Area,Tier 2,2011-12,Math,Hispanic,478.9260485651214,453.0
Appleton Area,Tier 2,2011-12,Math,White,511.7133506718682,4614.0
Appleton Area,Tier 2,2011-12,Reading,Black,471.06134453781516,119.0
Appleton Area,Tier 2,2011-12,Reading,Hispanic,472.1306167400881,454.0
Appleton Area,Tier 2,2011-12,Reading,White,505.4821312540611,4617.0
Appleton Area,Tier 2,2012-13,Math,Black,496.49937106918236,159.0
Appleton Area,Tier 2,2012-13,Math,Hispanic,481.6576923076923,494.0
Appleton Area,Tier 2,2012-13,Math,White,511.4332542080277,4634.0
Appleton Area,Tier 2,2012-13,Reading,Black,491.55822784810124,158.0
Appleton Area,Tier 2,2012-13,Reading,Hispanic,474.0225152129818,493.0
Appleton Area,Tier 2,2012-13,Reading,White,505.85671126456623,4634.0
Appleton Area,Tier 2,2013-14,Math,Black,471.2037037037037,162.0
Appleton Area,Tier 2,2013-14,Math,Hispanic,482.7203454894434,521.0
Appleton Area,Tier 2,2013-14,Math,White,511.4986956521739,4600.0
Appleton Area,Tier 2,2013-14,Reading,Black,477.8203703703704,162.0
Appleton Area,Tier 2,2013-14,Reading,Hispanic,473.7581573896353,521.0
Appleton Area,Tier 2,2013-14,Reading,White,504.37665217391304,4600.0
Waukesha,Tier 2,2008-09,Math,Black,480.23920000000004,125.0
Waukesha,Tier 2,2008-09,Math,Hispanic,472.68536912751676,745.0
Waukesha,Tier 2,2008-09,Math,White,505.8384978991597,3808.0
Waukesha,Tier 2,2008-09,Reading,Black,478.76879999999994,125.0
Waukesha,Tier 2,2008-09,Reading,Hispanic,472.84537695590325,703.0
Waukesha,Tier 2,2008-09,Reading,White,505.172125984252,3810.0
Waukesha,Tier 2,2009-10,Math,Black,481.79423076923075,156.0
Waukesha,Tier 2,2009-10,Math,Hispanic,473.27808564231736,794.0
Waukesha,Tier 2,2009-10,Math,White,506.4736546184739,3735.0
Waukesha,Tier 2,2009-10,Reading,Black,478.098064516129,155.0
Waukesha,Tier 2,2009-10,Reading,Hispanic,469.3205497382198,764.0
Waukesha,Tier 2,2009-10,Reading,White,501.7757632565613,3734.0
Waukesha,Tier 2,2010-11,Math,Black,468.66412556053814,223.0
Waukesha,Tier 2,2010-11,Math,Hispanic,474.0290285714285,875.0
Waukesha,Tier 2,2010-11,Math,White,507.7490463215259,3670.0
Waukesha,Tier 2,2010-11,Reading,Black,471.88340807174893,223.0
Waukesha,Tier 2,2010-11,Reading,Hispanic,472.2182346109176,861.0
Waukesha,Tier 2,2010-11,Reading,White,504.1276839237058,3670.0
Waukesha,Tier 2,2011-12,Math,Black,475.17915057915064,259.0
Waukesha,Tier 2,2011-12,Math,Hispanic,473.67465388711395,939.0
Waukesha,Tier 2,2011-12,Math,White,511.27167076838947,3657.0
Waukesha,Tier 2,2011-12,Reading,Black,470.3189189189189,259.0
Waukesha,Tier 2,2011-12,Reading,Hispanic,466.01404255319153,940.0
Waukesha,Tier 2,2011-12,Reading,White,503.11491108071135,3655.0
Waukesha,Tier 2,2012-13,Math,Black,483.41037735849056,212.0
Waukesha,Tier 2,2012-13,Math,Hispanic,476.1789008832188,1019.0
Waukesha,Tier 2,2012-13,Math,White,513.4600056769799,3523.0
Waukesha,Tier 2,2012-13,Reading,Black,483.5278301886792,212.0
Waukesha,Tier 2,2012-13,Reading,Hispanic,470.65279685966635,1019.0
Waukesha,Tier 2,2012-13,Reading,White,506.70261066969346,3524.0
Waukesha,Tier 2,2013-14,Math,Black,492.9533333333334,165.0
Waukesha,Tier 2,2013-14,Math,Hispanic,478.955265610438,1073.0
Waukesha,Tier 2,2013-14,Math,White,512.8488823529411,3400.0
Waukesha,Tier 2,2013-14,Reading,Black,481.01393939393944,165.0
Waukesha,Tier 2,2013-14,Reading,Hispanic,471.1855545200373,1073.0
Waukesha,Tier 2,2013-14,Reading,White,504.19914680788463,3399.0
Janesville,Tier 2,2008-09,Math,Black,477.40181818181816,220.0
Janesville,Tier 2,2008-09,Math,Hispanic,484.4246875,320.0
Janesville,Tier 2,2008-09,Math,White,503.49741915422885,3216.0
Janesville,Tier 2,2008-09,Reading,Black,469.6627272727273,220.0
Janesville,Tier 2,2008-09,Reading,Hispanic,471.1699999999999,320.0
Janesville,Tier 2,2008-09,Reading,White,495.0914827479018,3217.0
Janesville,Tier 2,2009-10,Math,Black,471.07762557077626,219.0
Janesville,Tier 2,2009-10,Math,Hispanic,483.2395424836601,306.0
Janesville,Tier 2,2009-10,Math,White,505.0779895481095,3253.0
Janesville,Tier 2,2009-10,Reading,Black,467.46090909090907,220.0
Janesville,Tier 2,2009-10,Reading,Hispanic,469.93993506493507,308.0
Janesville,Tier 2,2009-10,Reading,White,495.7460853546209,3257.0
Janesville,Tier 2,2010-11,Math,Black,484.5357142857143,280.0
Janesville,Tier 2,2010-11,Math,Hispanic,491.8007712082262,389.0
Janesville,Tier 2,2010-11,Math,White,510.7351608667104,3046.0
Janesville,Tier 2,2010-11,Reading,Black,480.9364285714286,280.0
Janesville,Tier 2,2010-11,Reading,Hispanic,482.5932989690722,388.0
Janesville,Tier 2,2010-11,Reading,White,501.63439448638013,3047.0
Janesville,Tier 2,2011-12,Math,Black,484.13036437246956,247.0
Janesville,Tier 2,2011-12,Math,Hispanic,496.4722347629797,443.0
Janesville,Tier 2,2011-12,Math,White,514.0783366867875,2982.0
Janesville,Tier 2,2011-12,Reading,Black,475.57601626016265,246.0
Janesville,Tier 2,2011-12,Reading,Hispanic,481.56365688487585,443.0
Janesville,Tier 2,2011-12,Reading,White,500.4316549177576,2979.0
Janesville,Tier 2,2012-13,Math,Black,487.3457142857142,280.0
Janesville,Tier 2,2012-13,Math,Hispanic,505.94266958424504,457.0
Janesville,Tier 2,2012-13,Math,White,520.9966426858513,2919.0
Janesville,Tier 2,2012-13,Reading,Black,479.695,280.0
Janesville,Tier 2,2012-13,Reading,Hispanic,488.3506578947369,456.0
Janesville,Tier 2,2012-13,Reading,White,504.5337444330251,2919.0
Janesville,Tier 2,2013-14,Math,Black,484.0815498154982,271.0
